team_abbreviation,w,l,era,g,gs,qs,cg,sh_o,sv,bs,ip,tbf,h,r,er,hr,bb,ibb,hbp,wp,bk,so,gb,fb,ld,iffb,pitches,balls,strikes,rs,ifh,bu,buh,k_9,bb_9,k_bb,h_9,hr_9,avg,whip,babip,lob_pct,fip,gb_fb,ld_pct,gb_pct,fb_pct,iffb_pct,hr_fb,ifh_pct,buh_pct,tto_pct,c_framing,starting,start_ip,relieving,relief_ip,rar,war,dollars,ra9_wins,lob_wins,bip_wins,bs_wins,t_era,x_fip,wpa,wpa_minus,wpa_plus,re24,rew,p_li,in_li,gm_li,ex_li,pulls,games,wpa_li,clutch,f_ball_pct,f_bv,sl_pct,s_lv,ct_pct,c_tv,cb_pct,c_bv,ch_pct,c_hv,sf_pct,s_fv,xx_pct,w_fb,w_sl,w_ct,w_cb,w_ch,w_sf,w_fb_c,w_sl_c,w_ct_c,w_cb_c,w_ch_c,w_sf_c,o_swing_pct,z_swing_pct,swing_pct,o_contact_pct,z_contact_pct,contact_pct,zone_pct,f_strike_pct,sw_str_pct,c_str_pct,c_sw_str_pct,hld,sd,md,era_2,fip_2,x_fip_2,k_pct,bb_pct,k_bb_pct,siera,kw_era,rs_9,e_f,pull,cent,oppo,soft,med,hard,bip_count,pull_pct,cent_pct,oppo_pct,soft_pct,med_pct,hard_pct,k_9_2,bb_9_2,k_bb_2,h_9_2,hr_9_2,avg_2,whip_2,babip_2,lob_pct_2,k_pct_2,bb_pct_2,ld_pct_2,gb_pct_2,fb_pct_2,hrfb_pct,pull_pct_2,cent_pct_2,oppo_pct_2,soft_pct_2,med_pct_2,hard_pct_2,x_era,pb_o_ch,pb_s_ch,pb_c_ch,pb_o_cu,pb_s_cu,pb_c_cu,pb_o_ff,pb_s_ff,pb_c_ff,pb_o_si,pb_s_si,pb_c_si,pb_o_sl,pb_s_sl,pb_c_sl,pb_o_fc,pb_s_fc,pb_c_fc,pb_o_fs,pb_s_fs,pb_c_fs,pb_overall,pb_stuff,pb_command,pb_x_rv100,pb_era,sp_s_ch,sp_l_ch,sp_p_ch,sp_s_cu,sp_l_cu,sp_p_cu,sp_s_ff,sp_l_ff,sp_p_ff,sp_s_si,sp_l_si,sp_p_si,sp_s_sl,sp_l_sl,sp_p_sl,sp_s_fc,sp_l_fc,sp_p_fc,sp_s_fs,sp_l_fs,sp_p_fs,sp_stuff,sp_location,sp_pitching,pptv,cptv,bptv,dsv,dgv,btv,r_bptv,ebv,esv,r_f_team_v,r_b_team_v,r_tv,b_review,b_overturned,b_correct_pct,w_b_review,p_review,p_overturned,p_correct_pct,w_p_review,c_review,c_overturned,c_correct_pct,w_c_review,pfx_fa_pct,pfx_fc_pct,pfx_fs_pct,pfx_si_pct,pfx_sl_pct,pfx_cu_pct,pfx_ch_pct,pfx_slo_pct,pfx_st_pct,pfx_cuo_pct,pfx_v_fa,pfx_v_fc,pfx_v_fs,pfx_v_si,pfx_v_sl,pfx_v_cu,pfx_v_ch,pfx_v_slo,pfx_v_st,pfx_v_cuo,pfx_fa_x,pfx_fc_x,pfx_fs_x,pfx_si_x,pfx_sl_x,pfx_cu_x,pfx_ch_x,pfx_slo_x,pfx_st_x,pfx_cuo_x,pfx_fa_z,pfx_fc_z,pfx_fs_z,pfx_si_z,pfx_sl_z,pfx_cu_z,pfx_ch_z,pfx_slo_z,pfx_st_z,pfx_cuo_z,pfx_w_fa,pfx_w_fc,pfx_w_fs,pfx_w_si,pfx_w_sl,pfx_w_cu,pfx_w_ch,pfx_w_slo,pfx_w_st,pfx_w_cuo,pfx_w_fa_c,pfx_w_fc_c,pfx_w_fs_c,pfx_w_si_c,pfx_w_sl_c,pfx_w_cu_c,pfx_w_ch_c,pfx_w_slo_c,pfx_w_st_c,pfx_w_cuo_c,pfx_aa_fa,pfx_aa_fc,pfx_aa_fs,pfx_aa_si,pfx_aa_sl,pfx_aa_cu,pfx_aa_ch,pfx_aa_slo,pfx_aa_st,pfx_aa_cuo,pfx_sp_fa,pfx_sp_fc,pfx_sp_fs,pfx_sp_si,pfx_sp_sl,pfx_sp_cu,pfx_sp_ch,pfx_sp_slo,pfx_sp_st,pfx_sp_cuo,pfx_o_swing_pct,pfx_z_swing_pct,pfx_swing_pct,pfx_o_contact_pct,pfx_z_contact_pct,pfx_contact_pct,pfx_zone_pct,pfx_pace,avg_bat_speed,fast_swing_pct,swing_length,squared_up_contact_pct,squared_up_swing_pct,blast_contact_pct,blast_swing_pct,swords,competitive_swings,tilt,attack_angle,attack_direction,ideal_attack_angle_pct,depth_in_box,distance_off_plate,sc_h_swing_pct,sc_h_contact_pct,sc_h_zone_pct,sc_s_swing_pct,sc_s_contact_pct,sc_s_zone_pct,sc_c_swing_pct,sc_c_contact_pct,sc_c_zone_pct,sc_w_swing_pct,sc_w_contact_pct,sc_w_zone_pct,sc_si_swing_pct,sc_si_contact_pct,sc_si_zone_pct,sc_so_swing_pct,sc_so_contact_pct,sc_so_zone_pct,sc_o_swing_pct,sc_o_contact_pct,sc_o_zone_pct,sc_z_swing_pct,sc_z_contact_pct,sc_z_zone_pct,pi_ch_pct,pi_cu_pct,pi_fa_pct,pi_fc_pct,pi_fs_pct,pi_si_pct,pi_sl_pct,pi_v_ch,pi_v_cu,pi_v_fa,pi_v_fc,pi_v_fs,pi_v_si,pi_v_sl,pi_ch_x,pi_cu_x,pi_fa_x,pi_fc_x,pi_fs_x,pi_si_x,pi_sl_x,pi_ch_z,pi_cu_z,pi_fa_z,pi_fc_z,pi_fs_z,pi_si_z,pi_sl_z,pi_w_ch,pi_w_cu,pi_w_fa,pi_w_fc,pi_w_fs,pi_w_si,pi_w_sl,pi_w_ch_c,pi_w_cu_c,pi_w_fa_c,pi_w_fc_c,pi_w_fs_c,pi_w_si_c,pi_w_sl_c,pi_o_swing_pct,pi_z_swing_pct,pi_swing_pct,pi_o_contact_pct,pi_z_contact_pct,pi_contact_pct,pi_zone_pct,pi_pace,events,ev,la,barrels,barrel_pct,max_ev,hard_hit,hard_hit_pct,q,tg,tip,position_db,position,team_name_abb,teamid,player_team_id,ev90,pb_o_kc,pb_s_kc,pb_c_kc,sp_s_kc,sp_l_kc,sp_p_kc,r_pptv,pfx_kc_pct,pfx_v_kc,pfx_kc_x,pfx_kc_z,pfx_w_kc,pfx_w_kc_c,pfx_aa_kc,pfx_sp_kc,pfx_ep_pct,pfx_v_ep,pfx_ep_x,pfx_ep_z,pfx_w_ep,pfx_w_ep_c,pfx_aa_ep,pfx_sp_ep,sp_s_fo,sp_l_fo,sp_p_fo,pfx_fo_pct,pfx_v_fo,pfx_fo_x,pfx_fo_z,pfx_w_fo,pfx_w_fo_c,pfx_aa_fo,pfx_sp_fo,pi_xx_pct,pi_v_xx,pi_xx_x,pi_xx_z,pi_w_xx,pi_w_xx_c,r_dgv,pfx_cv_pct,pfx_v_cv,pfx_cv_x,pfx_cv_z,pfx_w_cv,pfx_w_cv_c,pfx_aa_cv,pfx_sp_cv,kn_pct,k_nv,w_kn,w_kn_c,pi_cs_pct,pi_v_cs,pi_cs_x,pi_cs_z,pi_w_cs,pi_w_cs_c
NYY,8,5,2.4971,60,13,5,0,0,5,2,115.1,471,91,34,32,3,34,1,5,4,0,119,149,98,61,12,1827,646,1181,57,11,5,1,9.2861,2.6532,3.5,7.1012,0.2341,0.2106,1.0838,0.2839,0.7631,2.4362,1.5204,0.1981,0.4838,0.3182,0.1224,0.0306,0.0738,0.2,0.3312,0.33,18.4467,70.4,10.4532,42.6,28.8999,3.3262,26.6095,3.5084,-0.0517,0.234,0.1823,2.64,3.1805,1.1857,-7.856,9.0417,19.971800000000002,2.1538,1.0509,0.939,1.086,1.1427,47,60,1.9632,-0.8349,0.5523,94.3006,0.1962,85.0251,0.0499,91.2527,0.0685,77.632,0.0805,86.6667,0.0526,85.5,0.0027,14.1247,0.0884,2.8749,-0.4688,-0.1016,0.994,1.4013,0.0247,3.1592,-0.3751,-0.0691,1.0354,0.3224,0.6464,0.4625,0.6737,0.8098,0.7559,0.4323,0.5924,0.1128,0.1801,0.2928,8,12,6,61.4025,61.69,80.947,0.2527,0.0722,0.1805,3.1032,3.6571,4.448,0.0609,137,106,70,56,179,78,313,0.4377,0.3387,0.2236,0.1789,0.5719,0.2492,101.1016,66.0826,120.8515,89.1057,24.6879,90.4454,81.3926,97.3767,107.2258,106.4032,69.5478,102.3477,116.7473,81.1438,31.2799,104.9506,97.3961,95.0719,108.2428,112.2279,76.6452,2.8672,50.7771,52.3265,50.6978,53.1906,49.2325,52.9301,57.1511,56.1611,55.2045,57.9481,56.9591,53.2698,49.9987,51.8502,47.7151,50.4255,49.4895,48.4052,47.7202,53.3262,46.415,56.0981,52.943600000000004,53.5199,-0.4236,3.2508,101.7817,96.9096,91.8289,112.9366,103.6896,106.4086,104.8985,109.0264,112.3086,106.9689,109.8875,118.3733,106.9422,97.039,104.8407,97.532,103.6098,105.41,97.1408,90.5369,87.3971,104.7256,104.6086,108.6916,0,0,1,0,0,0,0.0422,0,1,0,0.0422,0.0422,14,9,0.6429,-1.9925,1,1,1,0.078,8,6,0.75,0.7769,0.2838,0.114,0.0526,0.2499,0.1595,0.0685,0.0718,0.0619,0.0975,0.0685,94.7411,93.0082,85.4302,93.6261,82.9292,77.572,85.5901,84.6912,81.8107,77.572,-0.0672,0.3248,-4.0877,-0.5095,0.8142,1.2454,4.9947,1.1367,0.6095,1.2454,9.7881,6.1176,1.8821,3.6206,1.809,-6.5634,1.5892,2.5106,1.3635,-6.5634,6.1563,4.2754,1.0231,10.2754,-0.5501,-0.5682,-0.7395,-2.6711,2.121,-0.5682,1.1885,2.0555,1.0658,2.2534,-0.189,-0.4546,-0.5645,-2.3638,1.1916,-0.4546,33.4441,35.6381,42.9974,23.0751,22.6272,41.6826,23.0733,23.9927,21.7604,41.6826,2100.0135,2255.8125,1233.0521,2062.4605,2210.1649,2569.408,1495.1374,1806.0973,2466.6798,2569.408,0.2875,0.6204,0.4625,0.6064,0.8151,0.7536,0.5255,19.5941,71.2903,0.2425,7.1449,0.3372,0.2468,0.1267,0.0927,14,701,30.6261,8.9676,0.9374,0.4979,26.7762,27.3356,0.6793,0.8361,0.2697,0.5272,0.7487,0.4306,0.2428,0.4643,0.2078,0.085,0.1538,0.0919,0.5951,0.7397,0.221,0.4556,0.761,0.2096,0.2968,0.6486,0.5096,0.6346,0.8046,0.4904,0.0701,0.0685,0.3036,0.0948,0.0532,0.2515,0.1584,85.8476,77.9253,95.1672,92.6057,85.7477,93.9401,83.243,4.5608,1.7193,0.0068,1.1272,-3.419,-0.2985,0.9282,-0.115,-8.3791,8.1992,4.6975,0.2278,2.1793,0.153,-0.2693,-0.5682,5.3668,4.7884,0.1292,9.8233,0.5803,-0.2104,-0.4546,0.9687,2.7678,0.1332,2.1402,0.2008,0.2972,0.6134,0.463,0.6047,0.8177,0.7527,0.5244,19.5941,313,88.7179,9.3409,11,0.0351,115.1,115,0.3674,8.8718,13,115.3333,P,P,NYY,9,9,103.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDP,8,6,3.4016,62,14,4,0,0,4,5,127,526,115,53,48,7,44,1,4,2,0,129,166,121,58,16,2030,728,1302,58,15,3,0,9.1417,3.1181,2.9318,8.1496,0.4961,0.2406,1.252,0.3158,0.718,2.9661,1.3719,0.1681,0.4812,0.3507,0.1322,0.0579,0.0904,0,0.3422,0.16,12.8895,66.6,11.4456,56.2,24.3351,2.715,21.7201,1.0792,-0.5517,-1.0841,-1.6358,2.7466,3.4632,1.3601,-9.1673,10.5273,11.2602,1.1643,1.0888,1.0258,1.1803,1.2707,48,62,1.7485,-0.4994,0.485,95.1382,0.1424,85.6886,0.0981,87.3317,0.102,81.971,0.1301,86.803,0.0424,86.0698,0.0025,2.6473,6.3579,3.0182,-6.1031,5.0677,-2.5606,0.269,2.2,1.5167,-2.9483,1.9196,-2.9775,0.3546,0.6572,0.4751,0.6005,0.8418,0.7334,0.3982,0.6179,0.1266,0.1645,0.2911,8,17,10,94.2365,75.6235,88.1789,0.2452,0.0837,0.1616,3.326,3.8835,4.1102,0.4355,150,113,85,68,175,105,349,0.431,0.3247,0.2443,0.1954,0.5029,0.3017,107.5104,87.6918,115.9475,104.6164,53.2808,105.1205,99.3123,113.2738,98.7824,109.4685,89.289,91.2118,109.3544,93.3557,58.959,106.7945,91.7496,100.7323,115.1622,100.1276,91.9634,3.2579,49.9998,53.3422,48.4756,59.5247,50.1552,60.6583,50.6103,53.1141,47.3297,53.5029,53.193600000000004,53.1886,54.3831,52.4747,54.5195,53.5199,51.4983,52.3977,39.8903,50.9676,39.6109,52.2788,52.338,51.3656,-0.1277,3.6946,93.1505,100.0461,95.1802,96.0684,112.4963,103.1198,101.5527,99.6961,99.6263,102.0282,95.5404,100.4125,108.8755,103.0646,110.4201,91.0203,104.2488,103.0471,119.5758,62.9568,77.7291,101.3005,99.3435,100.4136,1,0,0,0,0,0,NA,1,0,-0.0358,0,-0.0358,18,11,0.6111,-2.2108,0,0,NA,NA,20,14,0.7,1.8777,0.2878,0.0724,0.0281,0.1957,0.1681,0.0537,0.1459,0.0912,0.0769,0.0537,94.9762,89.1306,83.007,95.271,85.0754,81.3633,87.3105,87.2935,82.4449,81.3633,-4.2634,2.0596,-0.7635,-3.0885,2.381,4.7363,-6.0301,2.0154,2.8147,4.7363,10.3825,4.9688,1.3907,5.2782,1.2577,-6.9045,2.6418,0.8944,1.6884,-6.9045,6.8298,1.5353,-1.1923,-2.4146,9.3782,-0.1999,4.0536,7.2645,2.1137,-0.1999,1.1695,1.0444,-2.0917,-0.6082,2.7502,-0.1834,1.3695,3.9267,1.3549,-0.1834,39.9284,30.3148,43.6781,29.9806,31.8681,43.3645,27.4205,31.6028,32.1826,43.3645,2215.7603,2232.2041,1219.8246,2066.471,2328.8886,2800.4862,1812.1385,2163.9027,2524.5449,2800.4862,0.3288,0.6299,0.4756,0.5468,0.8347,0.7326,0.4874,19.3009,71.9146,0.2552,7.3511,0.3196,0.233,0.1257,0.0916,22,764,32.9443,10.5434,0.0381,0.5039,28.3708,27.149,0.681,0.8734,0.2431,0.5547,0.7265,0.4212,0.277,0.4831,0.2232,0.1116,0.0417,0.1126,0.6056,0.7674,0.2232,0.4974,0.6702,0.198,0.3278,0.5593,0.5323,0.6438,0.8331,0.4677,0.1602,0.0966,0.2893,0.0759,0.0138,0.1942,0.17,87.2723,81.7702,95.1469,89.1799,80.988,95.4232,85.2098,-4.602,4.7184,-3.8081,2.0343,-7.6396,-2.8748,2.6848,0.873,-6.8737,9.1715,3.7592,2.6325,4.0352,-0.1663,4.0158,-5.6907,7.2293,2.1944,-1.1267,-2.4463,8.366,1.2356,-2.9034,1.2316,1.4249,-4.0239,-0.6209,2.4249,0.326,0.6348,0.4756,0.563,0.8253,0.7326,0.4845,19.3009,349,87.4843,11.7623,22,0.063,114.6,126,0.361,9.0714,14,127,P,P,SDP,29,29,103.8,53.0077,52.8739,54.3333,105.9559,96.9998,92.4161,-0.0358,0.0483,82.5357,2.2298,-2.2431,-5.8439,-5.9632,41.3202,2335.0612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,6,7,4.2672,60,13,4,0,0,4,0,116,490,118,62,55,10,29,0,1,5,0,130,155,108,63,11,1956,690,1266,46,12,4,3,10.0862,2.25,4.4828,9.1552,0.7759,0.2565,1.2672,0.3375,0.6418,2.8023,1.4352,0.1933,0.4755,0.3313,0.1019,0.0926,0.0774,0.75,0.3449,0.69,13.9776,68.6,8.5952,43.9,22.5728,2.6119,20.8955,0.1093,-0.9811,-1.5215,-2.5026,3.03,2.8677,0.7054,-6.8223,7.5276,1.6949,-3e-4,0.8162,0.7645,0.8155,0.8087,47,60,0.701,0.1632,0.5013,94.6752,0.2486,85.6934,0.0353,87.2754,0.0711,78.6331,0.1079,86.5261,0.0358,87.2857,5e-4,-6.6759,6.4791,-3.4477,1.9875,1.9859,-0.9672,-0.6812,1.3331,-4.9966,1.4299,0.9412,-1.3816,0.3557,0.6549,0.4772,0.6199,0.8596,0.7535,0.4061,0.6286,0.1176,0.1662,0.2837,6,10,3,111.9552,69.3559,72.3556,0.2653,0.0592,0.2061,2.8357,3.3492,3.569,1.4649,125,128,77,64,178,88,330,0.3788,0.3879,0.2333,0.1939,0.5394,0.2667,118.6177,63.2776,160.0586,117.5249,83.3333,112.0835,100.5238,121.0614,88.2957,118.422,63.1732,104.8492,108.0591,88.1822,94.3656,93.8498,109.5976,96.229,114.3,107.3992,81.2781,3.2554,49.4184,52.2566,47.8976,49.363,38.3983,51.4978,47.4545,49.9824,47.8905,52.3676,53.4705,50.242,54.298,51.241,52.8694,42.6256,61.3247,42.4326,57.9104,43.7951,60.5676,51.6093,51.7098,50.0857,-0.0759,3.7723,105.1884,89.1786,94.8397,106.1462,110.5963,106.7907,104.6751,100.256,99.4412,107.9001,98.4647,108.2556,111.9925,109.757,116.5759,93.766,81.1404,83.6503,81.0048,114.7795,98.3533,106.3068,101.0774,105.9158,1,0,0,0,0,0,NA,1,0,-0.041,0,-0.041,10,3,0.3,-0.5046,3,1,0.3333,0.2727,8,8,1,1.8031,0.1904,0.0527,0.0384,0.306,0.2323,0.0261,0.1075,0.1233,0.109,0.0261,95.2118,88.7184,87.3693,94.7507,85.213,77.2941,86.4629,85.8813,84.4568,77.2941,-2.3253,-0.2951,-7.0199,2.1058,-0.3769,3.6565,4.6102,0.93,-1.8557,3.6565,8.8255,5.0597,3.3459,4.6962,0.3504,-5.1156,0.8161,0.3479,0.3532,-5.1156,-6.4917,-2.9508,0.3428,2.0058,6.5238,-0.3447,1.7715,1.0719,5.4519,-0.3447,-1.7451,-2.8648,0.457,0.3354,1.437,-0.6758,0.8436,0.4448,2.5596,-0.6758,31.4281,40.7553,42.9732,33.9577,31.2667,47.7678,24.8261,37.8831,23.7806,47.7678,2015.3091,2271.8544,1386.16,2024.4164,2098.9251,2395.5882,1612.1048,2271.3029,1903.8873,2395.5882,0.3333,0.6368,0.477,0.586,0.8506,0.7532,0.4734,18.717,71.4865,0.2095,7.2716,0.3037,0.2253,0.1119,0.083,18,759,33.5671,9.5352,-0.6748,0.5072,27.5788,27.8928,0.6733,0.8984,0.2496,0.5613,0.7553,0.4132,0.305,0.4737,0.2402,0.0682,0.25,0.097,0.6267,0.8,0.2022,0.4987,0.7016,0.211,0.3392,0.5934,0.5491,0.6447,0.8556,0.4509,0.1111,0.0706,0.1766,0.066,0.0348,0.3096,0.2313,85.3104,78.9029,95.4385,90.5925,88.4913,95.0589,85.5659,4.268,5.9106,-2.2472,0.3044,-6.4364,2.0379,-0.4994,-0.3013,-6.3988,7.891,4.9046,2.0918,3.5249,-0.8163,2.5927,1.9244,-6.7539,-2.543,-0.4973,2.0618,6.5174,1.1948,1.3945,-1.9577,-1.9713,-0.7313,0.3408,1.4419,0.3304,0.6341,0.477,0.5659,0.8562,0.7521,0.4826,18.717,330,87.2969,9.4862,21,0.0636,113,113,0.3424,8.9231,13,116,P,P,PHI,26,26,103.7,60.5709,56.2241,57.0876,118.5384,113.3328,128.5535,-0.041,0.044,79.2733,6.1749,-5.2776,2.3048,2.68,24.0395,2590.593,0.0026,36.94,-0.2438,8.1627,-0.0444,-0.8878,70.0499,921.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
